material_name_T,S_C4,task,time (min),total_metal_loading,particle_diameter (nm),std_dev (nm),surface_area (m^2/g),av_IP (eV),av_EA (eV),av_PE,av_bulk_int_dist (A),av_E_coh (eV/atom),av_B_0 (Gpa),av_mu_C_critical_surf (eV),av_mu_C_critical_subsurf (eV),av_E_b_C_subsurf (eV),av_E_def_subsurf (eV),av_delta_M1_M2_subsurf,av_BE_H_surf (eV),av_W_change_H (eV),av_d_band_center_surf (eV),av_BE_H_subsurf (eV)
PdAg_1_9_100,0.079079502988677,2,351.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_100,0.079441094459232,2,364.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_100,0.079921608754375,2,378.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_100,0.080163732521782,2,391.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.059494970846298,3,13.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.066433322038434,3,27.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.068159915673738,3,40.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.069777002933824,3,54.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.071096286736721,3,67.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.072792256935414,3,81.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.075179276816303,3,108.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.07642801549399,3,135.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.077032675300169,3,148.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.077930028068763,3,162.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.078344873341896,3,175.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.079183202271324,3,189.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.080117316731202,3,202.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.080583296674438,3,216.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.081199462804871,3,229.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.082010143340158,3,243.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.081587056811326,3,256.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.08165895958947,3,283.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.081676104779865,3,297.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.08173798539536,3,310.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.082195017262787,3,324.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.08192071401717,3,337.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.081929709018673,3,364.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_5_100,0.057374906416476,2,13.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.055409687792627,2,27.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.060506799331416,2,40.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.066032725988317,2,67.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.067834425682528,2,81.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.069785092887792,2,94.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.070590518491443,2,108.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.071956035968036,2,121.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.073425136936045,2,148.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.073966470680784,2,162.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.074799781125206,2,175.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.075110842316935,2,189.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.075340572785258,2,202.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.076252468167081,2,229.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.076621527203254,2,243.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.076524485751739,2,256.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.076852885823876,2,270.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.077751284827614,2,283.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.077826569603358,2,297.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.078275707212935,2,310.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.0793589109147,2,337.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.07998374643776,2,351.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.080733218919508,2,364.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.082324005495042,2,391.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.08311749789736,2,405.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.038361711476348,3,13.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.046292161174336,3,27.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.05281044120907,3,54.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.05561639259819,3,67.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.058563861049166,3,81.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.061352593788011,3,94.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.063939240917151,3,108.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.065721024147554,3,121.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.067204928312996,3,135.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.068582802911712,3,148.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.069688633388552,3,162.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.070408919586524,3,175.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.071312155877995,3,189.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.073966973234004,3,243.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.073978936130021,3,256.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.073914620756723,3,270.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.073651679410338,3,297.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.073623074742935,3,310.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.074060568900556,3,324.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.074521948625544,3,337.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.075228819186098,3,351.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.07591840757242,3,364.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.076945968002134,3,391.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.077528309317269,3,405.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_1_100,0.026968829555277,2,40.5,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,0.02796475357978,2,54.0,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,0.033716856476225,2,81.0,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,0.035598491752729,2,94.5,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,0.038717652267048,2,121.5,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,0.04054328665297,2,135.0,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,0.042331160798461,2,148.5,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,0.044126262469032,2,162.0,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,0.047395568828996,2,189.0,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,0.048291881709072,2,202.5,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,0.050166043796357,2,216.0,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,0.052266528986591,2,229.5,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,0.053669316218499,2,243.0,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,0.056277203493998,2,270.0,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
